prefecture_code,prefecture_name,household_id,family_type_id,family_type,num_member,abnormal_household,person_id,age,gender_id,gender,role_household_type_id,role_household_type,industry_type_id,industry_type,employment_type_id,employment_type,company_size_id,company_size,total_income
50,合成人口県,30,1,夫婦のみ世帯,2,0,76,61,1,女性,11,妻・女親,,,,,,,
50,合成人口県,31,2,夫婦と子供世帯,5,0,77,43,0,男性,10,夫・男親,140,Ｎ 生活関連サービス業，娯楽業,30,臨時労働者,100,100～999人,79900
50,合成人口県,31,2,夫婦と子供世帯,5,0,78,38,1,女性,11,妻・女親,50,Ｅ 製造業,10,一般労働者,10,10～99人,256200
50,合成人口県,31,2,夫婦と子供世帯,5,0,79,4,0,男性,20,子供（男性）,,,,,,,
50,合成人口県,31,2,夫婦と子供世帯,5,0,80,4,0,男性,20,子供（男性）,,,,,,,
50,合成人口県,31,2,夫婦と子供世帯,5,0,81,1,1,女性,21,子供（女性）,,,,,,,
50,合成人口県,32,2,夫婦と子供世帯,4,0,82,54,0,男性,10,夫・男親,130,Ｍ 宿泊業，飲食サービス業,10,一般労働者,1000,1000人以上,453400
50,合成人口県,32,2,夫婦と子供世帯,4,0,83,54,1,女性,11,妻・女親,190,Ｓ 公務（他に分類されるものを除く）,,,,,0
50,合成人口県,32,2,夫婦と子供世帯,4,0,84,19,0,男性,20,子供（男性）,200,Ｔ 分類不能の産業,,,,,0
50,合成人口県,32,2,夫婦と子供世帯,4,0,85,29,0,男性,20,子供（男性）,180,Ｒ サービス業（他に分類されないもの）,10,一般労働者,10,10～99人,274600
50,合成人口県,33,0,単独世帯,1,0,86,40,1,女性,1,単独世帯（女性）,,,,,,,
50,合成人口県,34,2,夫婦と子供世帯,3,0,87,62,0,男性,10,夫・男親,70,Ｇ 情報通信業,10,一般労働者,10,10～99人,444400
50,合成人口県,34,2,夫婦と子供世帯,3,0,88,54,1,女性,11,妻・女親,,,,,,,
50,合成人口県,34,2,夫婦と子供世帯,3,0,89,25,0,男性,20,子供（男性）,110,Ｋ 不動産業，物品賃貸業,10,一般労働者,100,100～999人,371100
50,合成人口県,35,1,夫婦のみ世帯,2,0,90,72,0,男性,10,夫・男親,,,,,,,
50,合成人口県,35,1,夫婦のみ世帯,2,0,91,70,1,女性,11,妻・女親,,,,,,,
50,合成人口県,36,2,夫婦と子供世帯,4,0,92,54,0,男性,10,夫・男親,170,Ｑ 複合サービス事業,20,短時間労働者,1000,1000人以上,148000
50,合成人口県,36,2,夫婦と子供世帯,4,0,93,55,1,女性,11,妻・女親,,,,,,,
50,合成人口県,36,2,夫婦と子供世帯,4,0,94,25,1,女性,21,子供（女性）,130,Ｍ 宿泊業，飲食サービス業,20,短時間労働者,1000,1000人以上,66900
50,合成人口県,36,2,夫婦と子供世帯,4,0,95,15,1,女性,21,子供（女性）,,,,,,,
50,合成人口県,37,2,夫婦と子供世帯,4,0,96,40,0,男性,10,夫・男親,70,Ｇ 情報通信業,10,一般労働者,1000,1000人以上,643800
50,合成人口県,37,2,夫婦と子供世帯,4,0,97,35,1,女性,11,妻・女親,,,,,,,
50,合成人口県,37,2,夫婦と子供世帯,4,0,98,7,0,男性,20,子供（男性）,,,,,,,
50,合成人口県,37,2,夫婦と子供世帯,4,0,99,3,1,女性,21,子供（女性）,,,,,,,
