question_id,full_question_text,choice_1_count,choice_2_count,choice_3_count,choice_4_count,choice_5_count
Q6-ア,"世の中の人びとについてあなたはどう思いますか。それぞれについて、あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 たいていの人は信用できる",28,32,2,36,2
Q6-イ,"世の中の人びとについてあなたはどう思いますか。それぞれについて、あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 近所の人たちはお互い仲良くやっている",42,23,14,20,1
Q6-ウ,"世の中の人びとについてあなたはどう思いますか。それぞれについて、あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 困っているとき、近所の人たちは手助けしてくれる",44,36,5,13,2
Q7-ア,"あなたのふだんの生活についてお聞きします。つぎにあげるような行動を、あなた自身はよく行いますか。ア)~エ)のそれぞれの活動について、あてはまる番号をひとつ選び、○をつけてください。 クレジットカードで買い物をする",27,9,6,58,
Q7-イ,"あなたのふだんの生活についてお聞きします。つぎにあげるような行動を、あなた自身はよく行いますか。ア)~エ)のそれぞれの活動について、あてはまる番号をひとつ選び、○をつけてください。 インターネット (携帯電話やスマートフォンを含む)で買い物やチケット予約をする",20,32,20,28,
Q7-ウ,"あなたのふだんの生活についてお聞きします。つぎにあげるような行動を、あなた自身はよく行いますか。ア)~エ)のそれぞれの活動について、あてはまる番号をひとつ選び、○をつけてください。 通信販売のカタログで買い物をする",2,42,32,24,
Q7-エ,"あなたのふだんの生活についてお聞きします。つぎにあげるような行動を、あなた自身はよく行いますか。ア)~エ)のそれぞれの活動について、あてはまる番号をひとつ選び、○をつけてください。 雑誌や本で取り上げられたレストランに行く",9,40,31,20,
Q8-ア,"あなたはふだん次にあげるような活動をどの程度しています。それぞれの活動についてあてはまる番号をひとつ選び、○をつけてください。 国政選挙や自治体選挙の際の投票",21,28,5,17,29
Q8-イ,"あなたはふだん次にあげるような活動をどの程度しています。それぞれの活動についてあてはまる番号をひとつ選び、○をつけてください。 政治活動や選挙運動の支援 (署名や資金カンパを含む)",0,4,10,38,48
Q8-ウ,"あなたはふだん次にあげるような活動をどの程度しています。それぞれの活動についてあてはまる番号をひとつ選び、○をつけてください。 市民運動への参加",0,14,25,37,24
Q8-エ,"あなたはふだん次にあげるような活動をどの程度しています。それぞれの活動についてあてはまる番号をひとつ選び、○をつけてください。 ボランティア活動への参加",0,19,29,27,25
Q8-オ,"あなたはふだん次にあげるような活動をどの程度しています。それぞれの活動についてあてはまる番号をひとつ選び、○をつけてください。 自治会・町内会活動への参加",2,34,20,27,17
Q9-ア,"あなたは、つぎのような活動をしていますか。ア)~エ)のそれぞれの活動について、どのくらいしているかを、最近の5、6年でお答えください(あなたが自由時間に行う場合に限ります。学校の行事や仕事で行うものは含みません)。 クラシック音楽のコンサートへ行く",0,1,40,14,45
Q9-イ,"あなたは、つぎのような活動をしていますか。ア)~エ)のそれぞれの活動について、どのくらいしているかを、最近の5、6年でお答えください(あなたが自由時間に行う場合に限ります。学校の行事や仕事で行うものは含みません)。 美術館や博物館に行く",1,6,52,7,34
Q9-ウ,"あなたは、つぎのような活動をしていますか。ア)~エ)のそれぞれの活動について、どのくらいしているかを、最近の5、6年でお答えください(あなたが自由時間に行う場合に限ります。学校の行事や仕事で行うものは含みません)。 図書館に行く",4,17,46,7,26
Q9-エ,"あなたは、つぎのような活動をしていますか。ア)~エ)のそれぞれの活動について、どのくらいしているかを、最近の5、6年でお答えください(あなたが自由時間に行う場合に限ります。学校の行事や仕事で行うものは含みません)。 小説や歴史などの本を読む",12,23,27,4,34
Q10-ア,"つぎにあげることは、あなたのお宅にどのくらいあてはまりますか。ア)〜イ)のそれぞれについて、番号をひとつ選び、○をつけてください。 国産の牛肉や野菜を選んで買っている",28,27,33,12,
Q10-イ,"つぎにあげることは、あなたのお宅にどのくらいあてはまりますか。ア)〜イ)のそれぞれについて、番号をひとつ選び、○をつけてください。 無農薬や有機栽培の野菜、無添加の食品を購入している",11,30,44,15,
Q15,"社会保障のうち年金制度について、おうかがいします。年金の受け取りと負担(保険料)との関係について、次のような4つの考え方があります。あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。",18,51,23,8,
Q16,"少子高齢化に伴い、公的年金を受給する人が増えます。年金の財源を確保するための、高齢世代と現役世代の負担のあり方について、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。",1,96,3,,
Q22-ア,"この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 いらいらする",6,27,36,24,7
Q22-イ,"この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 絶望的な感じになる",4,15,34,16,31
Q22-ウ,"この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 そわそわして、落ち着かない",16,27,27,19,11
Q22-エ,"この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 気持ちがめいって、何をしても気が晴れない",16,12,35,17,20
Q22-オ,"この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 何をするのもおっくうな気持ちになる",3,22,41,28,6
Q22-カ,"この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 自分が何の価値もない人間のような気持ちになる",8,11,37,18,26
Q23-ア,"つぎのア) ~エ)のことがらは、あなた自身にどれくらいあてはまりますか。 健康に気をつけて食事をしている",34,25,36,5,
Q23-イ,"つぎのア) ~エ)のことがらは、あなた自身にどれくらいあてはまりますか。 健康のために運動をしている",12,27,40,21,
Q23-ウ,"つぎのア) ~エ)のことがらは、あなた自身にどれくらいあてはまりますか。 タバコをよく吸う",4,6,26,64,
Q23-エ,"つぎのア) ~エ)のことがらは、あなた自身にどれくらいあてはまりますか。 お酒をよく飲む",4,25,34,37,
