question_id,full_question_text,option_1,option_2,option_3,option_4,option_5
Q4-エ,子どもについて、ア)~エ)の意見があります。あなたはどう思いますか。それぞれについてあなたの考えにいちばん近い番号をひとつ選び、○をつけてください。お子さんのいない方もお答えください。 やりたいことがないのに、大学に進学するべきではない,そう思う,どちらかといえばそう思う,どちらかといえばそう思わない,そう思わない,
Q5-ア,あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 性別による不公平,大いにある,ある,あまりない,ない,
Q5-イ,あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 世代による不公平,大いにある,ある,あまりない,ない,
Q5-ウ,あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 学歴による不公平,大いにある,ある,あまりない,ない,
Q5-エ,あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 正規/非正規雇用による不公平,大いにある,ある,あまりない,ない,
Q5-オ,あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 人種・民族・国籍による不公平,大いにある,ある,あまりない,ない,
Q5-カ,あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 地域による不公平,大いにある,ある,あまりない,ない,
Q6-ア,世の中の人びとについてあなたはどう思いますか。それぞれについて、あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 たいていの人は信用できる,そう思う,どちらかといえばそう思う,どちらともいえない,どちらかといえばそう思わない,そう思わない
Q6-イ,世の中の人びとについてあなたはどう思いますか。それぞれについて、あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 近所の人たちはお互い仲良くやっている,そう思う,どちらかといえばそう思う,どちらともいえない,どちらかといえばそう思わない,そう思わない
Q6-ウ,世の中の人びとについてあなたはどう思いますか。それぞれについて、あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 困っているとき、近所の人たちは手助けしてくれる,そう思う,どちらかといえばそう思う,どちらともいえない,どちらかといえばそう思わない,そう思わない
Q7-ア,あなたのふだんの生活についてお聞きします。つぎにあげるような行動を、あなた自身はよく行いますか。ア)~エ)のそれぞれの活動について、あてはまる番号をひとつ選び、○をつけてください。 クレジットカードで買い物をする,よくする,たまにする,あまりしない,まったくしない,
Q7-イ,あなたのふだんの生活についてお聞きします。つぎにあげるような行動を、あなた自身はよく行いますか。ア)~エ)のそれぞれの活動について、あてはまる番号をひとつ選び、○をつけてください。 インターネット (携帯電話やスマートフォンを含む)で買い物やチケット予約をする,よくする,たまにする,あまりしない,まったくしない,
Q7-ウ,あなたのふだんの生活についてお聞きします。つぎにあげるような行動を、あなた自身はよく行いますか。ア)~エ)のそれぞれの活動について、あてはまる番号をひとつ選び、○をつけてください。 通信販売のカタログで買い物をする,よくする,たまにする,あまりしない,まったくしない,
Q7-エ,あなたのふだんの生活についてお聞きします。つぎにあげるような行動を、あなた自身はよく行いますか。ア)~エ)のそれぞれの活動について、あてはまる番号をひとつ選び、○をつけてください。 雑誌や本で取り上げられたレストランに行く,よくする,たまにする,あまりしない,まったくしない,
Q8-ア,あなたはふだん次にあげるような活動をどの程度しています。それぞれの活動についてあてはまる番号をひとつ選び、○をつけてください。 国政選挙や自治体選挙の際の投票,いつもしている,よくしている,ときどきしている,めったにしない,したことがない
Q8-イ,あなたはふだん次にあげるような活動をどの程度しています。それぞれの活動についてあてはまる番号をひとつ選び、○をつけてください。 政治活動や選挙運動の支援 (署名や資金カンパを含む),いつもしている,よくしている,ときどきしている,めったにしない,したことがない
Q8-ウ,あなたはふだん次にあげるような活動をどの程度しています。それぞれの活動についてあてはまる番号をひとつ選び、○をつけてください。 市民運動への参加,いつもしている,よくしている,ときどきしている,めったにしない,したことがない
Q8-エ,あなたはふだん次にあげるような活動をどの程度しています。それぞれの活動についてあてはまる番号をひとつ選び、○をつけてください。 ボランティア活動への参加,いつもしている,よくしている,ときどきしている,めったにしない,したことがない
Q8-オ,あなたはふだん次にあげるような活動をどの程度しています。それぞれの活動についてあてはまる番号をひとつ選び、○をつけてください。 自治会・町内会活動への参加,いつもしている,よくしている,ときどきしている,めったにしない,したことがない
Q9-ア,あなたは、つぎのような活動をしていますか。ア)~エ)のそれぞれの活動について、どのくらいしているかを、最近の5、6年でお答えください(あなたが自由時間に行う場合に限ります。学校の行事や仕事で行うものは含みません)。 クラシック音楽のコンサートへ行く,週に1回以上,月に1回ぐらい,年に数回,数年に1回,ここ数年したことがない
Q9-イ,あなたは、つぎのような活動をしていますか。ア)~エ)のそれぞれの活動について、どのくらいしているかを、最近の5、6年でお答えください(あなたが自由時間に行う場合に限ります。学校の行事や仕事で行うものは含みません)。 美術館や博物館に行く,週に1回以上,月に1回ぐらい,年に数回,数年に1回,ここ数年したことがない
Q9-ウ,あなたは、つぎのような活動をしていますか。ア)~エ)のそれぞれの活動について、どのくらいしているかを、最近の5、6年でお答えください(あなたが自由時間に行う場合に限ります。学校の行事や仕事で行うものは含みません)。 図書館に行く,週に1回以上,月に1回ぐらい,年に数回,数年に1回,ここ数年したことがない
Q9-エ,あなたは、つぎのような活動をしていますか。ア)~エ)のそれぞれの活動について、どのくらいしているかを、最近の5、6年でお答えください(あなたが自由時間に行う場合に限ります。学校の行事や仕事で行うものは含みません)。 小説や歴史などの本を読む,週に1回以上,月に1回ぐらい,年に数回,数年に1回,ここ数年したことがない
Q10-ア,つぎにあげることは、あなたのお宅にどのくらいあてはまりますか。ア)〜イ)のそれぞれについて、番号をひとつ選び、○をつけてください。 国産の牛肉や野菜を選んで買っている,あてはまる,ややあてはまる,あまりあてはまらない,あてはまらない,
Q10-イ,つぎにあげることは、あなたのお宅にどのくらいあてはまりますか。ア)〜イ)のそれぞれについて、番号をひとつ選び、○をつけてください。 無農薬や有機栽培の野菜、無添加の食品を購入している,あてはまる,ややあてはまる,あまりあてはまらない,あてはまらない,
Q15,社会保障のうち年金制度について、おうかがいします。年金の受け取りと負担(保険料)との関係について、次のような4つの考え方があります。あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。,受け取る年金の額をさらに上げるため、これまで以上の負担はやむをえない,受け取る年金の額を現状のままに保つため、負担が増えるのもしかたない,受け取る年金の額を下げて、負担の程度は現状のままとする,受け取る年金の額を大幅に下げて、負担の程度を下げる,
Q16,少子高齢化に伴い、公的年金を受給する人が増えます。年金の財源を確保するための、高齢世代と現役世代の負担のあり方について、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。,高齢世代が負担の増加を担うべき,高齢世代と現役世代がともに、負担の増加を担うべき,現役世代が負担の増加を担うべき,,
Q22-ア,この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 いらいらする,いつも,たいてい,ときどき,少しだけ,全くない
Q22-イ,この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 絶望的な感じになる,いつも,たいてい,ときどき,少しだけ,全くない
Q22-ウ,この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 そわそわして、落ち着かない,いつも,たいてい,ときどき,少しだけ,全くない
Q22-エ,この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 気持ちがめいって、何をしても気が晴れない,いつも,たいてい,ときどき,少しだけ,全くない
Q22-オ,この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 何をするのもおっくうな気持ちになる,いつも,たいてい,ときどき,少しだけ,全くない
Q22-カ,この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 自分が何の価値もない人間のような気持ちになる,いつも,たいてい,ときどき,少しだけ,全くない
Q23-ア,つぎのア) ~エ)のことがらは、あなた自身にどれくらいあてはまりますか。 健康に気をつけて食事をしている,あてはまる,ややあてはまる,あまりあてはまらない,あてはまらない,
Q23-イ,つぎのア) ~エ)のことがらは、あなた自身にどれくらいあてはまりますか。 健康のために運動をしている,あてはまる,ややあてはまる,あまりあてはまらない,あてはまらない,
Q23-ウ,つぎのア) ~エ)のことがらは、あなた自身にどれくらいあてはまりますか。 タバコをよく吸う,あてはまる,ややあてはまる,あまりあてはまらない,あてはまらない,
Q23-エ,つぎのア) ~エ)のことがらは、あなた自身にどれくらいあてはまりますか。 お酒をよく飲む,あてはまる,ややあてはまる,あまりあてはまらない,あてはまらない,
