question_id,full_question_text,choice_1_count,choice_2_count,choice_3_count,choice_4_count,choice_5_count
Q5-オ,"あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 人種・民族・国籍による不公平",19,37,36,8,
Q5-カ,"あなたは、次のような不公平が今の日本社会にあると思いますか。あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 地域による不公平",34,48,18,0,
Q6-ア,"世の中の人びとについてあなたはどう思いますか。それぞれについて、あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 たいていの人は信用できる",12,64,15,6,3
Q6-イ,"世の中の人びとについてあなたはどう思いますか。それぞれについて、あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 近所の人たちはお互い仲良くやっている",3,35,47,12,3
Q6-ウ,"世の中の人びとについてあなたはどう思いますか。それぞれについて、あなたの気持ちにもっとも近い番号をひとつ選び、○をつけてください。 困っているとき、近所の人たちは手助けしてくれる",35,60,3,1,1
Q7-ア,"あなたのふだんの生活についてお聞きします。つぎにあげるような行動を、あなた自身はよく行いますか。ア)~エ)のそれぞれの活動について、あてはまる番号をひとつ選び、○をつけてください。 クレジットカードで買い物をする",23,69,8,0,
Q7-イ,"あなたのふだんの生活についてお聞きします。つぎにあげるような行動を、あなた自身はよく行いますか。ア)~エ)のそれぞれの活動について、あてはまる番号をひとつ選び、○をつけてください。 インターネット (携帯電話やスマートフォンを含む)で買い物やチケット予約をする",31,65,3,1,
Q7-ウ,"あなたのふだんの生活についてお聞きします。つぎにあげるような行動を、あなた自身はよく行いますか。ア)~エ)のそれぞれの活動について、あてはまる番号をひとつ選び、○をつけてください。 通信販売のカタログで買い物をする",5,89,5,1,
Q7-エ,"あなたのふだんの生活についてお聞きします。つぎにあげるような行動を、あなた自身はよく行いますか。ア)~エ)のそれぞれの活動について、あてはまる番号をひとつ選び、○をつけてください。 雑誌や本で取り上げられたレストランに行く",5,71,21,3,
Q8-ア,"あなたはふだん次にあげるような活動をどの程度しています。それぞれの活動についてあてはまる番号をひとつ選び、○をつけてください。 国政選挙や自治体選挙の際の投票",4,16,60,7,13
Q8-イ,"あなたはふだん次にあげるような活動をどの程度しています。それぞれの活動についてあてはまる番号をひとつ選び、○をつけてください。 政治活動や選挙運動の支援 (署名や資金カンパを含む)",0,2,58,8,32
Q8-ウ,"あなたはふだん次にあげるような活動をどの程度しています。それぞれの活動についてあてはまる番号をひとつ選び、○をつけてください。 市民運動への参加",1,8,60,13,18
Q8-エ,"あなたはふだん次にあげるような活動をどの程度しています。それぞれの活動についてあてはまる番号をひとつ選び、○をつけてください。 ボランティア活動への参加",1,0,61,13,25
Q8-オ,"あなたはふだん次にあげるような活動をどの程度しています。それぞれの活動についてあてはまる番号をひとつ選び、○をつけてください。 自治会・町内会活動への参加",1,4,73,8,14
Q9-ア,"あなたは、つぎのような活動をしていますか。ア)~エ)のそれぞれの活動について、どのくらいしているかを、最近の5、6年でお答えください(あなたが自由時間に行う場合に限ります。学校の行事や仕事で行うものは含みません)。 クラシック音楽のコンサートへ行く",1,30,42,17,10
Q9-イ,"あなたは、つぎのような活動をしていますか。ア)~エ)のそれぞれの活動について、どのくらいしているかを、最近の5、6年でお答えください(あなたが自由時間に行う場合に限ります。学校の行事や仕事で行うものは含みません)。 美術館や博物館に行く",6,31,42,18,3
Q9-ウ,"あなたは、つぎのような活動をしていますか。ア)~エ)のそれぞれの活動について、どのくらいしているかを、最近の5、6年でお答えください(あなたが自由時間に行う場合に限ります。学校の行事や仕事で行うものは含みません)。 図書館に行く",10,49,29,9,3
Q9-エ,"あなたは、つぎのような活動をしていますか。ア)~エ)のそれぞれの活動について、どのくらいしているかを、最近の5、6年でお答えください(あなたが自由時間に行う場合に限ります。学校の行事や仕事で行うものは含みません)。 小説や歴史などの本を読む",25,30,28,15,2
Q10-ア,"つぎにあげることは、あなたのお宅にどのくらいあてはまりますか。ア)〜イ)のそれぞれについて、番号をひとつ選び、○をつけてください。 国産の牛肉や野菜を選んで買っている",31,38,29,2,
Q10-イ,"つぎにあげることは、あなたのお宅にどのくらいあてはまりますか。ア)〜イ)のそれぞれについて、番号をひとつ選び、○をつけてください。 無農薬や有機栽培の野菜、無添加の食品を購入している",13,42,38,7,
Q15,"社会保障のうち年金制度について、おうかがいします。年金の受け取りと負担(保険料)との関係について、次のような4つの考え方があります。あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。",8,19,55,18,
Q16,"少子高齢化に伴い、公的年金を受給する人が増えます。年金の財源を確保するための、高齢世代と現役世代の負担のあり方について、あなたの考えにいちばん近い番号をひとつ選び、○をつけてください。",0,92,8,,
Q22-ア,"この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 いらいらする",0,4,76,18,2
Q22-イ,"この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 絶望的な感じになる",21,26,34,7,3
Q22-ウ,"この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 そわそわして、落ち着かない",0,10,73,15,2
Q22-エ,"この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 気持ちがめいって、何をしても気が晴れない",0,14,65,15,6
Q22-オ,"この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 何をするのもおっくうな気持ちになる",22,33,40,3,1
Q22-カ,"この1ヶ月の間にどれくらいの頻度で次のことがありましたか。ア)~カ)のそれぞれについて、一番近い選択肢の番号をひとつ選び、○をつけてください。 自分が何の価値もない人間のような気持ちになる",0,4,40,43,13
Q23-ア,"つぎのア) ~エ)のことがらは、あなた自身にどれくらいあてはまりますか。 健康に気をつけて食事をしている",19,65,16,0,
Q23-イ,"つぎのア) ~エ)のことがらは、あなた自身にどれくらいあてはまりますか。 健康のために運動をしている",15,41,43,1,
Q23-ウ,"つぎのア) ~エ)のことがらは、あなた自身にどれくらいあてはまりますか。 タバコをよく吸う",9,35,53,3,
Q23-エ,"つぎのア) ~エ)のことがらは、あなた自身にどれくらいあてはまりますか。 お酒をよく飲む",6,30,63,1,
